Samples_colname	Covar_colnames	Condition_colname	Condition_A	Condition_B	Comparison_name
SegmentDisplayName		AOI_Type	stroma_CIS_far	stroma_CI	stroma_CIS_far_vs_stroma_CI
SegmentDisplayName		AOI_Type	stroma_CIS_far	normal	stroma_CIS_far_vs_normal
SegmentDisplayName		AOI_Type	stroma_CIS_far	CIS_far_CI	stroma_CIS_far_vs_CIS_far_CI
SegmentDisplayName		AOI_Type	stroma_CIS_far	CIS_close_CI	stroma_CIS_far_vs_CIS_close_CI
SegmentDisplayName		AOI_Type	stroma_CIS_far	CI	stroma_CIS_far_vs_CI
SegmentDisplayName		AOI_Type	stroma_CI	normal	stroma_CI_vs_normal
SegmentDisplayName		AOI_Type	stroma_CI	CIS_far_CI	stroma_CI_vs_CIS_far_CI
SegmentDisplayName		AOI_Type	stroma_CI	CIS_close_CI	stroma_CI_vs_CIS_close_CI
SegmentDisplayName		AOI_Type	stroma_CI	CI	stroma_CI_vs_CI
SegmentDisplayName		AOI_Type	normal	CIS_far_CI	normal_vs_CIS_far_CI
SegmentDisplayName		AOI_Type	normal	CIS_close_CI	normal_vs_CIS_close_CI
SegmentDisplayName		AOI_Type	normal	CI	normal_vs_CI
SegmentDisplayName		AOI_Type	CIS_far_CI	CIS_close_CI	CIS_far_CI_vs_CIS_close_CI
SegmentDisplayName		AOI_Type	CIS_far_CI	CI	CIS_far_CI_vs_CI
SegmentDisplayName		AOI_Type	CIS_close_CI	CI	CIS_close_CI_vs_CI
SegmentDisplayName		AOI_Type	CI	CIS_close_CI	CI_vs_CIS_close_CI
SegmentDisplayName		AOI_Type	CI	CIS_far_CI	CI_vs_CIS_far_CI
SegmentDisplayName		AOI_Type	CI	normal	CI_vs_normal
SegmentDisplayName		AOI_Type	CI	stroma_CI	CI_vs_stroma_CI
SegmentDisplayName		AOI_Type	CI	stroma_CIS_far	CI_vs_stroma_CIS_far
SegmentDisplayName		AOI_Type	CIS_close_CI	CIS_far_CI	CIS_close_CI_vs_CIS_far_CI
SegmentDisplayName		AOI_Type	CIS_close_CI	normal	CIS_close_CI_vs_normal
SegmentDisplayName		AOI_Type	CIS_close_CI	stroma_CI	CIS_close_CI_vs_stroma_CI
SegmentDisplayName		AOI_Type	CIS_close_CI	stroma_CIS_far	CIS_close_CI_vs_stroma_CIS_far
SegmentDisplayName		AOI_Type	CIS_far_CI	normal	CIS_far_CI_vs_normal
SegmentDisplayName		AOI_Type	CIS_far_CI	stroma_CI	CIS_far_CI_vs_stroma_CI
SegmentDisplayName		AOI_Type	CIS_far_CI	stroma_CIS_far	CIS_far_CI_vs_stroma_CIS_far
SegmentDisplayName		AOI_Type	normal	stroma_CI	normal_vs_stroma_CI
SegmentDisplayName		AOI_Type	normal	stroma_CIS_far	normal_vs_stroma_CIS_far
SegmentDisplayName		AOI_Type	stroma_CI	stroma_CIS_far	stroma_CI_vs_stroma_CIS_far
SegmentDisplayName		AOI_Type	CI	CIS_close_CI,CIS_far_CI,normal,stroma_CI,stroma_CIS_far	CI_vs_Other
SegmentDisplayName		AOI_Type	CIS_close_CI	CI,CIS_far_CI,normal,stroma_CI,stroma_CIS_far	CIS_close_CI_vs_Other
SegmentDisplayName		AOI_Type	CIS_far_CI	CI,CIS_close_CI,normal,stroma_CI,stroma_CIS_far	CIS_far_CI_vs_Other
SegmentDisplayName		AOI_Type	normal	CI,CIS_close_CI,CIS_far_CI,stroma_CI,stroma_CIS_far	normal_vs_Other
SegmentDisplayName		AOI_Type	stroma_CI	CI,CIS_close_CI,CIS_far_CI,normal,stroma_CIS_far	stroma_CI_vs_Other
SegmentDisplayName		AOI_Type	stroma_CIS_far	CI,CIS_close_CI,CIS_far_CI,normal,stroma_CI	stroma_CIS_far_vs_Other
SegmentDisplayName		SegmentLabel	CK	CD45	CK_vs_CD45
SegmentDisplayName		SegmentLabel	CD45	CK	CD45_vs_CK
